common_voice_eo_17902934|Li havas cerbon ne tro potencan|Li havas cerbon ne tro potencan
common_voice_eo_17898967|Oni sentis en aero fulmotondron tio estis certa|Oni sentis en aero fulmotondron tio estis certa
common_voice_eo_17898968|Ĉu vi scias ke vi fariĝis treege bela|Ĉu vi scias ke vi fariĝis treege bela
common_voice_eo_17898969|Sed li lasis sin kondamni ne ŝin perfidante|Sed li lasis sin kondamni ne ŝin perfidante
common_voice_eo_17899015|Reĝino Kolardo ŝi respondis mordante siajn lipojn por ne ridi|Reĝino Kolardo ŝi respondis mordante siajn lipojn por ne ridi
common_voice_eo_17906546|Estas ŝi la amantino kiu skribis tiun leteron per ĵurnalaj literoj|Estas ŝi la amantino kiu skribis tiun leteron per ĵurnalaj literoj
common_voice_eo_17906547|Tro da metioj  profitoj neniaj|Tro da metioj  profitoj neniaj
common_voice_eo_17906548|Naivuloj jam ne ekzistas|Naivuloj jam ne ekzistas
common_voice_eo_17906550|Kiam komencis la resaniĝo la amnezio unue estis tuta|Kiam komencis la resaniĝo la amnezio unue estis tuta
common_voice_eo_18790490|Ĝi estis Petro kiu revenis rapide avertite de la pordisto|Ĝi estis Petro kiu revenis rapide avertite de la pordisto
common_voice_eo_18800852|Kiu pekis tiu pagas|Kiu pekis tiu pagas
common_voice_eo_18807553|Pli tiras virina haro ol ĉevala paro|Pli tiras virina haro ol ĉevala paro
common_voice_eo_18807555|Kiu mensogis per unu vorto ne trovos kredon ĝis la morto|Kiu mensogis per unu vorto ne trovos kredon ĝis la morto
common_voice_eo_17902646|Virino bonorda estas muta kaj surda|Virino bonorda estas muta kaj surda
common_voice_eo_17902647|Atesto de matureco|Atesto de matureco
common_voice_eo_17902648|Por ĉiu ago venos tempo de pago|Por ĉiu ago venos tempo de pago
common_voice_eo_17902650|Vi eraras Juliino respondis Herbeno per malpacienca tono|Vi eraras Juliino respondis Herbeno per malpacienca tono
common_voice_eo_17899553|Ĉe vulpoj ĉiam naskiĝas nur vulpoj|Ĉe vulpoj ĉiam naskiĝas nur vulpoj
common_voice_eo_17899555|Jen estas laŭ mia opinio tio kio kredeble okazis|Jen estas laŭ mia opinio tio kio kredeble okazis
common_voice_eo_17899556|Pri laboroj maldiligenta pri festoj plej kompetenta|Pri laboroj maldiligenta pri festoj plej kompetenta
common_voice_eo_17899557|Kaprica fianĉino restos eterne fraŭlino|Kaprica fianĉino restos eterne fraŭlino
common_voice_eo_17899104|Via vizaĝo ne ŝanĝiĝis|Via vizaĝo ne ŝanĝiĝis
common_voice_eo_17899105|Tiun promeson elparolis ne nur la buŝo sed ankaŭ la koro|Tiun promeson elparolis ne nur la buŝo sed ankaŭ la koro
common_voice_eo_17899107|Tio ŝajnas al mi terure malsimpla diris fraŭlino Rozino|Tio ŝajnas al mi terure malsimpla diris fraŭlino Rozino
common_voice_eo_17899108|Grandaj malbonoj  grandaj rimedoj|Grandaj malbonoj  grandaj rimedoj
common_voice_eo_18092947|La amo kiun mi inspiras ne estas sento kiun oni povas forgesi|La amo kiun mi inspiras ne estas sento kiun oni povas forgesi
common_voice_eo_18092948|Se vi donas mielon donu ankaŭ kuleron|Se vi donas mielon donu ankaŭ kuleron
common_voice_eo_18092949|Subite la malfeliĉulino frapis sian frunton|Subite la malfeliĉulino frapis sian frunton
common_voice_eo_18092951|Tiun matenon mi deziris lian morton|Tiun matenon mi deziris lian morton
common_voice_eo_18092953|Mi estas certa ke Reĝino ĝin ankoraŭ kaptis|Mi estas certa ke Reĝino ĝin ankoraŭ kaptis
common_voice_eo_17901492|Se ĉiu balaos antaŭ sia pordo tiam en la tuta urbo estos ordo|Se ĉiu balaos antaŭ sia pordo tiam en la tuta urbo estos ordo
common_voice_eo_17901493|Ne ne tute ne|Ne ne tute ne
common_voice_eo_17901494|Pli longatempe daŭrigi farus la malfeliĉon de ĉiuj|Pli longatempe daŭrigi farus la malfeliĉon de ĉiuj
common_voice_eo_17901495|Mizero piedojn sanigas kolon elastigas|Mizero piedojn sanigas kolon elastigas
common_voice_eo_17901496|Se vendisto ne mensogas li aĉetanton ne allogas|Se vendisto ne mensogas li aĉetanton ne allogas
common_voice_eo_18008601|Mi nesciis ke mi havas fraton kaj ke tiu frato estas vi|Mi nesciis ke mi havas fraton kaj ke tiu frato estas vi
common_voice_eo_18008602|Tamen iom post iom espero revenis|Tamen iom post iom espero revenis
common_voice_eo_18008603|Ne hontu penti pri faro hontu persisti en eraro|Ne hontu penti pri faro hontu persisti en eraro
common_voice_eo_18008604|Ne helpas plendo nek ploro kontraŭ kreditoro|Ne helpas plendo nek ploro kontraŭ kreditoro
common_voice_eo_18008605|Vi estas prava respondis la bankiero|Vi estas prava respondis la bankiero
common_voice_eo_18154471|Tri estas duono de ses|Tri estas duono de ses
common_voice_eo_18154472|La juna bankiero rapidis al sia amiko prezentante siajn manojn|La juna bankiero rapidis al sia amiko prezentante siajn manojn
common_voice_eo_18154473|Havi la ĉefan voĉon|Havi la ĉefan voĉon
common_voice_eo_18154474|Montradi al si reciproke la dentojn|Montradi al si reciproke la dentojn
common_voice_eo_18154475|Verkisto verkas librojn kaj skribisto simple transskribas paperojn|Verkisto verkas librojn kaj skribisto simple transskribas paperojn
common_voice_eo_18403508|Pli da infanoj pli da beno|Pli da infanoj pli da beno
common_voice_eo_18403509|Herbeno kolektis siajn memorojn|Herbeno kolektis siajn memorojn
common_voice_eo_18403510|Mi respondis ke lia sinjora Moŝto estas elirinta|Mi respondis ke lia sinjora Moŝto estas elirinta
common_voice_eo_18403511|La grandegeco de la malespero enhavas tiajn kvietecojn|La grandegeco de la malespero enhavas tiajn kvietecojn
common_voice_eo_18403512|Tial ke mi amas vin|Tial ke mi amas vin
common_voice_eo_17994767|Neniam iu lin venigis en la parolejon|Neniam iu lin venigis en la parolejon
common_voice_eo_17994769|Ili komencis ellitiĝi kiam alvenis Maziero|Ili komencis ellitiĝi kiam alvenis Maziero
common_voice_eo_17994772|Necese estas ke vi venu kun ni Beatrico diris Fernando|Necese estas ke vi venu kun ni Beatrico diris Fernando
common_voice_eo_17994773|Per oreloj ne per okuloj edzinon elektu|Per oreloj ne per okuloj edzinon elektu
common_voice_eo_17994775|Sinjoroj sin batas servantoj vundojn ricevas|Sinjoroj sin batas servantoj vundojn ricevas
common_voice_eo_17899588|Seka panpeco sed en libereco|Seka panpeco sed en libereco
common_voice_eo_17899589|Pli valoras senlaboreco ol sensenca laboremeco|Pli valoras senlaboreco ol sensenca laboremeco
common_voice_eo_17899590|Pagas maljunaj jaroj por junaj eraroj|Pagas maljunaj jaroj por junaj eraroj
common_voice_eo_17899591|Fernando pasigis la nokton apud ŝia lito|Fernando pasigis la nokton apud ŝia lito
common_voice_eo_17899592|Kion li faris|Kion li faris
common_voice_eo_18395108|Ĉu fine vi diros al mi kial oni min metis en malliberejon|Ĉu fine vi diros al mi kial oni min metis en malliberejon
common_voice_eo_18395109|Eniru rapide|Eniru rapide
common_voice_eo_18395110|Eble ni ilin renkontos|Eble ni ilin renkontos
common_voice_eo_18395111|Ĉu mi ne troviĝas apud li|Ĉu mi ne troviĝas apud li
common_voice_eo_18395112|Ĉu li koniĝis siajn intencojn|Ĉu li koniĝis siajn intencojn
common_voice_eo_17910746|Alberto Gustavio kaj Petro Fradeko|Alberto Gustavio kaj Petro Fradeko
common_voice_eo_17910747|Kio akorde ne sonas tio rimon ne donas|Kio akorde ne sonas tio rimon ne donas
common_voice_eo_17910748|Ni ne parolu pri tio|Ni ne parolu pri tio
common_voice_eo_17910749|Ĉirkaŭ sanktuloj diabloj vagas|Ĉirkaŭ sanktuloj diabloj vagas
common_voice_eo_17910750|Unue tia elekto ne ŝajnis al ŝi dubebla|Unue tia elekto ne ŝajnis al ŝi dubebla
common_voice_eo_17899613|Post la batalo preĝo ne helpas|Post la batalo preĝo ne helpas
common_voice_eo_17899614|Bedaŭrinde|Bedaŭrinde
common_voice_eo_17899615|Sed paĉjo vi plijuniĝas de tago al tago|Sed paĉjo vi plijuniĝas de tago al tago
common_voice_eo_17899616|Oni batas per vipo por ke sentu la ripo|Oni batas per vipo por ke sentu la ripo
common_voice_eo_17899617|Tamen mi forlasas la batalon|Tamen mi forlasas la batalon
common_voice_eo_18363105|Ĉu mi devas konservi sekreton kaj nenion diri al Eduardo|Ĉu mi devas konservi sekreton kaj nenion diri al Eduardo
common_voice_eo_18363106|Ĉu ili kuraĝos ami ankoraŭ unu la alian|Ĉu ili kuraĝos ami ankoraŭ unu la alian
common_voice_eo_18363107|Estas tro estas tro|Estas tro estas tro
common_voice_eo_18363108|Ĉu ni ne balais la tutan estintecon|Ĉu ni ne balais la tutan estintecon
common_voice_eo_18363109|Esti kaŭzo de lia morto min tuje frenezigus|Esti kaŭzo de lia morto min tuje frenezigus
common_voice_eo_18563242|Se vi malkonsentas nian unuiĝon mi vin obeos|Se vi malkonsentas nian unuiĝon mi vin obeos
common_voice_eo_18563243|Ŝtelisto ŝteliston ne perfidas|Ŝtelisto ŝteliston ne perfidas
common_voice_eo_18563244|Muso la katon ĉiam ofendis|Muso la katon ĉiam ofendis
common_voice_eo_18563245|Al loko dolora ni manon etendas al loko ĉarma okulojn ni sendas|Al loko dolora ni manon etendas al loko ĉarma okulojn ni sendas
common_voice_eo_18563246|La junulino ne povis sin decidi al la enlitiĝo|La junulino ne povis sin decidi al la enlitiĝo
common_voice_eo_18593219|La tuta familio malsupreniris al laŭbo kiu borderigas la vojon|La tuta familio malsupreniris al laŭbo kiu borderigas la vojon
common_voice_eo_18593220|Maldolĉa por la lango sed saniga por la sango|Maldolĉa por la lango sed saniga por la sango
common_voice_eo_18593221|Oni sentis ke ili estas ekprenintaj nerevokeblan decidon|Oni sentis ke ili estas ekprenintaj nerevokeblan decidon
common_voice_eo_18593222|Kio tio povas esti|Kio tio povas esti
common_voice_eo_18593223|En tiu momento krietadoj aŭdiĝis en angulo de la ĉambro|En tiu momento krietadoj aŭdiĝis en angulo de la ĉambro
common_voice_eo_18391049|Dume la tagoj fluis|Dume la tagoj fluis
common_voice_eo_18391050|Diru tion mi vin petas kun kunplektitaj manoj mi vin petegas|Diru tion mi vin petas kun kunplektitaj manoj mi vin petegas
common_voice_eo_18391051|Eduardo respondis laŭ malpreciza maniero|Eduardo respondis laŭ malpreciza maniero
common_voice_eo_18391052|Diru la veron|Diru la veron
common_voice_eo_18391053|Diri la veron al tiu malfeliĉulino ŝin mortigus tuje|Diri la veron al tiu malfeliĉulino ŝin mortigus tuje
common_voice_eo_17909340|Bona stato saĝigas malbona malsaĝigas|Bona stato saĝigas malbona malsaĝigas
common_voice_eo_17909341|Tio estas tre malafabla|Tio estas tre malafabla
common_voice_eo_17909342|Mi min certigos pri tio|Mi min certigos pri tio
common_voice_eo_17909343|Mi ne volas tion ĉi scii|Mi ne volas tion ĉi scii
common_voice_eo_17909344|Sed ĝuste mi ne utiligis fervojon mi revenis piede|Sed ĝuste mi ne utiligis fervojon mi revenis piede
common_voice_eo_18110229|Kiu tro sin pravigas tiu mem sin kulpigas|Kiu tro sin pravigas tiu mem sin kulpigas
common_voice_eo_18110230|La junulino ridetis|La junulino ridetis
common_voice_eo_18110231|Kie li estas|Kie li estas
common_voice_eo_18110232|Nebuligi la okulojn|Nebuligi la okulojn
common_voice_eo_18110233|Pri kio oni parolas en tiu proceso|Pri kio oni parolas en tiu proceso
common_voice_eo_17900124|Kuraĝe li staras kiam muro lin baras|Kuraĝe li staras kiam muro lin baras
common_voice_eo_17900125|Frosto lin atakis|Frosto lin atakis
common_voice_eo_17900126|Bono posedata ne estas ŝatata|Bono posedata ne estas ŝatata
common_voice_eo_17900127|Post unu minuto la atmosfero refariĝis spirebla|Post unu minuto la atmosfero refariĝis spirebla
common_voice_eo_17900128|La interparolado daŭris|La interparolado daŭris
common_voice_eo_18363281|En la apudan ĉambron|En la apudan ĉambron
common_voice_eo_18363282|Fine ŝi diris mia karulo ĉiam amas min nun mi estas certa pri tio|Fine ŝi diris mia karulo ĉiam amas min nun mi estas certa pri tio
common_voice_eo_18363283|Dume la gvidisto revenis akompanata de portilo kaj de ĝiaj portistoj|Dume la gvidisto revenis akompanata de portilo kaj de ĝiaj portistoj
common_voice_eo_18363284|Ĉu oni ilin konas|Ĉu oni ilin konas
common_voice_eo_18363285|En tiu momento oni sonoris por la vespermanĝo|En tiu momento oni sonoris por la vespermanĝo
common_voice_eo_18363356|Beatrico utilus tage kaj Reĝino nokte|Beatrico utilus tage kaj Reĝino nokte
common_voice_eo_18363357|Ĉu vi komprenas nun|Ĉu vi komprenas nun
common_voice_eo_18363359|Bonan vesperon sinjoro Herbeno kiel vi fartas|Bonan vesperon sinjoro Herbeno kiel vi fartas
common_voice_eo_18363362|Estas ĝuste pro li ke mi supreniris|Estas ĝuste pro li ke mi supreniris
common_voice_eo_18363364|Estas la maljunaĝo tio kio kaŭzas tiun pligraviĝon|Estas la maljunaĝo tio kio kaŭzas tiun pligraviĝon
common_voice_eo_18355715|Komenciĝis mizero ĝi venas per pordo kaj fenestroj|Komenciĝis mizero ĝi venas per pordo kaj fenestroj
common_voice_eo_18355718|Ĝi estas al li tre bonvena|Ĝi estas al li tre bonvena
common_voice_eo_18355724|Vi estas prava respondis la bankiero|Vi estas prava respondis la bankiero
common_voice_eo_18355729|Ludoviko donu al mi panon|Ludoviko donu al mi panon
common_voice_eo_18355730|Stari por iu kiel muro kaj turo|Stari por iu kiel muro kaj turo
common_voice_eo_18355731|Fraŭlino Kolardo rigardis nur la vojaĝantojn|Fraŭlino Kolardo rigardis nur la vojaĝantojn
common_voice_eo_18392405|Ĉu vere li estas Li|Ĉu vere li estas Li
common_voice_eo_18392409|Ĉu estas kredeble|Ĉu estas kredeble
common_voice_eo_18392415|Ĉu vi kredas ke tiuj du viroj vin malamas kaj volas vin pereigi|Ĉu vi kredas ke tiuj du viroj vin malamas kaj volas vin pereigi
common_voice_eo_18392416|Ĉu mi ne estas ĉi tie|Ĉu mi ne estas ĉi tie
common_voice_eo_18392417|Antaŭ momento ili havis longan interparoladon|Antaŭ momento ili havis longan interparoladon
common_voice_eo_18392418|Ĉu vi min kulpigos kiel la aliaj|Ĉu vi min kulpigos kiel la aliaj
common_voice_eo_18730798|Malsaĝa kiel ŝtipo|Malsaĝa kiel ŝtipo
common_voice_eo_18730800|Tiel estas tiel restas|Tiel estas tiel restas
common_voice_eo_18730801|Kie ne estas konsileble tie ne estas helpeble|Kie ne estas konsileble tie ne estas helpeble
common_voice_eo_18730813|Kiu li estas|Kiu li estas
common_voice_eo_18730814|Venu al mi hodiaŭ vespere|Venu al mi hodiaŭ vespere
common_voice_eo_18730815|Ĉiu mezuras aliajn laŭ sia mezurilo|Ĉiu mezuras aliajn laŭ sia mezurilo
common_voice_eo_18730817|Tio kio estis dirita estis farita|Tio kio estis dirita estis farita
common_voice_eo_17913426|Mi saltadis la tutan tagon de loko al loko|Mi saltadis la tutan tagon de loko al loko
common_voice_eo_17913427|Kontraŭ malfeliĉoj baro ne ekzistas|Kontraŭ malfeliĉoj baro ne ekzistas
common_voice_eo_17913428|Vivo modera estas vivo sendanĝera|Vivo modera estas vivo sendanĝera
common_voice_eo_17913429|Neniu alia venis antaŭ la deka|Neniu alia venis antaŭ la deka
common_voice_eo_17913491|Prokrastita ne estas perdita|Prokrastita ne estas perdita
common_voice_eo_17913492|Al feliĉulo eĉ koko donas ovojn|Al feliĉulo eĉ koko donas ovojn
common_voice_eo_17913494|Fradeko ne ŝajnis kompreni la sencon enfermitan en tiu rideto|Fradeko ne ŝajnis kompreni la sencon enfermitan en tiu rideto
common_voice_eo_18515715|La operacio komencis|La operacio komencis
common_voice_eo_18515716|Mi povas marŝi tenante alte mian kapon|Mi povas marŝi tenante alte mian kapon
common_voice_eo_18515717|Sprito en tempo ne ĝusta estas tre malbongusta|Sprito en tempo ne ĝusta estas tre malbongusta
common_voice_eo_18515719|Tro rapida akcelo ne kondukas al celo|Tro rapida akcelo ne kondukas al celo
common_voice_eo_18515755|Ju pli da babilado des pli da pekado|Ju pli da babilado des pli da pekado
common_voice_eo_18515757|Sinjorino kaj sinjoro unu alian valoras|Sinjorino kaj sinjoro unu alian valoras
common_voice_eo_18515758|Papero estas blanka|Papero estas blanka
common_voice_eo_18776219|Al kiu do|Al kiu do
common_voice_eo_18776222|Tre bone|Tre bone
common_voice_eo_18776235|Li loĝas ekster la urbo|Li loĝas ekster la urbo
common_voice_eo_18776236|La malfeliĉa virino ne tie ĉi ĉeestas plu por sin defendi|La malfeliĉa virino ne tie ĉi ĉeestas plu por sin defendi
common_voice_eo_18776244|Ŝi kombas al si la harojn per arĝenta kombilo|Ŝi kombas al si la harojn per arĝenta kombilo
common_voice_eo_18776274|Ĉiuj sidiĝis al la tablo|Ĉiuj sidiĝis al la tablo
common_voice_eo_18776286|Ju pli da donoj des pli da amikoj|Ju pli da donoj des pli da amikoj
common_voice_eo_18776296|La filoj nepoj kaj pranepoj de reĝo estas reĝidoj|La filoj nepoj kaj pranepoj de reĝo estas reĝidoj
common_voice_eo_17899274|Malaperis kiel vaporo|Malaperis kiel vaporo
common_voice_eo_17899276|Ĉiutage turistoj al ĝi iras are|Ĉiutage turistoj al ĝi iras are
common_voice_eo_17899277|Post tio kion mi diris tia mirego ne havas plu ian motivon por esti|Post tio kion mi diris tia mirego ne havas plu ian motivon por esti
common_voice_eo_17899289|La malo devis okazi por Fradeko|La malo devis okazi por Fradeko
common_voice_eo_17899290|Je la deka Beatrico sin levis por eliri|Je la deka Beatrico sin levis por eliri
common_voice_eo_17899291|Bono farita ne estas perdita|Bono farita ne estas perdita
common_voice_eo_17899292|Mi diris neniam|Mi diris neniam
common_voice_eo_17899293|Nokte eĉ monstro estas belulo|Nokte eĉ monstro estas belulo
common_voice_eo_18577328|Hako post hako estas la plej efika atako|Hako post hako estas la plej efika atako
common_voice_eo_18577329|Ne ĉion oni devas severe ekzameni|Ne ĉion oni devas severe ekzameni
common_voice_eo_18577330|Ŝi sufokiĝis|Ŝi sufokiĝis
common_voice_eo_18577331|Pri havo najbara oni estas malavara|Pri havo najbara oni estas malavara
common_voice_eo_18577332|Mi ne volas ke vi min malbenu|Mi ne volas ke vi min malbenu
common_voice_eo_18577374|Virinaj aferoj|Virinaj aferoj
common_voice_eo_18577375|Kiu leviĝis fiere baldaŭ falos al tero|Kiu leviĝis fiere baldaŭ falos al tero
common_voice_eo_18577377|Se vi bonvolas montri al mi la vojon mi vin sekvos|Se vi bonvolas montri al mi la vojon mi vin sekvos
common_voice_eo_18415125|Najbaro ne ĝemas kiam boto nin premas|Najbaro ne ĝemas kiam boto nin premas
common_voice_eo_18415126|Ĵuri kaj reĵuri|Ĵuri kaj reĵuri
common_voice_eo_18415127|Kiel oni vin vidas tiel oni vin taksas|Kiel oni vin vidas tiel oni vin taksas
common_voice_eo_18415128|Kiu kutimis ĉion juĝi nenie povas rifuĝi|Kiu kutimis ĉion juĝi nenie povas rifuĝi
common_voice_eo_18415129|Fiŝo serĉas profundon homo serĉas abundon|Fiŝo serĉas profundon homo serĉas abundon
common_voice_eo_18415220|Nobla entrepreno estus malprosperinta|Nobla entrepreno estus malprosperinta
common_voice_eo_18415221|Deko da pekoj unu la puno|Deko da pekoj unu la puno
common_voice_eo_18415223|Kio ŝi fariĝos|Kio ŝi fariĝos
common_voice_eo_18415224|Mi mem ne povas tion kredi kaj tamen tio estas reala|Mi mem ne povas tion kredi kaj tamen tio estas reala
common_voice_eo_18422680|Tamen mi ĉiam kontraŭstaris kaj mi vivis|Tamen mi ĉiam kontraŭstaris kaj mi vivis
common_voice_eo_18422681|En arbaro sidis kaj arbojn ne vidis|En arbaro sidis kaj arbojn ne vidis
common_voice_eo_18422682|Pli bone mi vin dankas|Pli bone mi vin dankas
common_voice_eo_18422683|Venu do ŝi rediris|Venu do ŝi rediris
common_voice_eo_18422684|Tio ne min mirigas|Tio ne min mirigas
common_voice_eo_18422685|La vagonaro baldaŭ ruliĝos ŝi diris|La vagonaro baldaŭ ruliĝos ŝi diris
common_voice_eo_18422686|Reale Fernando estis pli kolera ol vere maltrankvila|Reale Fernando estis pli kolera ol vere maltrankvila
common_voice_eo_18422687|Laŭ la agoj de la homo estas lia nomo|Laŭ la agoj de la homo estas lia nomo
common_voice_eo_18422688|Se homoj mankas infano ankaŭ estas homo|Se homoj mankas infano ankaŭ estas homo
common_voice_eo_17899578|Reĝino havis geston de malkontento|Reĝino havis geston de malkontento
common_voice_eo_17899579|Mi prenis tiun kiu troviĝis en la entomologia kolekto|Mi prenis tiun kiu troviĝis en la entomologia kolekto
common_voice_eo_17899580|Kun urso promenu sed pafilon prete tenu|Kun urso promenu sed pafilon prete tenu
common_voice_eo_17899581|Geedzoj en paco vivas en reĝa palaco|Geedzoj en paco vivas en reĝa palaco
common_voice_eo_17899583|Rakontu ĉion laŭ la plej etaj detaloj|Rakontu ĉion laŭ la plej etaj detaloj
common_voice_eo_17899584|Plej certa laboro  laboro per oro|Plej certa laboro  laboro per oro
common_voice_eo_17899585|Tio ne min mirigas|Tio ne min mirigas
common_voice_eo_17899586|Konsentinte mi akceptas|Konsentinte mi akceptas
common_voice_eo_17899587|Neniu ĝin sciis|Neniu ĝin sciis
common_voice_eo_18047687|Inter fremdaj ŝi estas edzinoanĝelo kun la edzo ŝi estas demono kruela|Inter fremdaj ŝi estas edzinoanĝelo kun la edzo ŝi estas demono kruela
common_voice_eo_18047688|Krii el la tuta gorĝo|Krii el la tuta gorĝo
common_voice_eo_18047689|Necese estas ke vi kuraciĝu|Necese estas ke vi kuraciĝu
common_voice_eo_18047690|Fremdan vundon kaŝas vesto|Fremdan vundon kaŝas vesto
common_voice_eo_18047716|Mi estas vidvino bedaŭrinde tion mi ne povas pruvi|Mi estas vidvino bedaŭrinde tion mi ne povas pruvi
common_voice_eo_18047717|Kun Dio vi iros ĉien sen Dio nenien|Kun Dio vi iros ĉien sen Dio nenien
common_voice_eo_18047718|Kredu min mia plej sincera deziro estas ke via espero ne efektiviĝu|Kredu min mia plej sincera deziro estas ke via espero ne efektiviĝu
common_voice_eo_18047719|Tion mi divenis|Tion mi divenis
common_voice_eo_18047720|Tiu katastrofo preteriras realece ĉiujn plej terurajn imagaĵojn|Tiu katastrofo preteriras realece ĉiujn plej terurajn imagaĵojn
common_voice_eo_18114210|Mi ankoraŭ amas unu solan viron|Mi ankoraŭ amas unu solan viron
common_voice_eo_18114211|En trankvila vetero ĉiu remas sen danĝero|En trankvila vetero ĉiu remas sen danĝero
common_voice_eo_18114212|Post morto kuracilo jam estas sen utilo|Post morto kuracilo jam estas sen utilo
common_voice_eo_18114213|Konkordo malgrandaĵon kreskigas malkonkordo grandaĵon ruinigas|Konkordo malgrandaĵon kreskigas malkonkordo grandaĵon ruinigas
common_voice_eo_18114214|Kion do sinjoro Herbeno havas hodiaŭ|Kion do sinjoro Herbeno havas hodiaŭ
common_voice_eo_18114221|Kiso malsincera estas danĝera|Kiso malsincera estas danĝera
common_voice_eo_18114222|Iru viziti Beatricon mia frato mi tion permesas|Iru viziti Beatricon mia frato mi tion permesas
common_voice_eo_18114223|Ne ĉio griza estas lupo|Ne ĉio griza estas lupo
common_voice_eo_18114224|Naskiĝu edziĝu kaj mortu  ĉiam monon alportu|Naskiĝu edziĝu kaj mortu  ĉiam monon alportu
